OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL5,Deep Lake Station 1-100 yds. off point,Lake,,,,,,,39.0287961100,-122.8847631000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL6,Tule Boat Launch (The Point),Lake,,,,,,,39.0268427800,-122.8869000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL7,Hydrilla Buoy/Downstream of BVCL20/ Mouth of KVC Marina (RETIRED SITE),Lake,,,,,,,39.0125000000,-122.5305000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL8,Tribal office/ Boat Ramp (RETIRED SITE),Lake,,18020116,,,,,39.0125000000,-122.5305000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVCL9,Mouth of Adobe Creek,River/Stream,,,,,,,39.0125000000,-122.5305000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVRTC1,Big Valley Rancheria Thompson Creek 1 (southern most area of Thompson Creek on Tribal land),River/Stream,,,,,,,39.0120110000,-122.8897080000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVRTCC,Big Valley Rancheria Thompson Creek Culvert,River/Stream,,,,,,,39.0144400000,-122.8900000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVST1,Stormceptor Tank (interceptor tank at boat ramp),Storm Sewer,,,,,,,39.0218100000,-122.8877000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVSWD1,Culvert from casino parking lot into Marina,"Pipe, Unspecified Source",,,,,,,39.0218000000,-122.8876000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-BVSWD2,Culvert from RV Parking lot to Field behind Casino,"Pipe, Unspecified Source",,,,,,,39.0209150000,-122.8896970000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CC1,Cole Creek at Soda Bay Rd. Bridge,River/Stream,,,,,,,39.0075600000,-122.8198000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CL-1,"State DWR-Upper Arm of Clear Lake, Center",Lake,,,,,,,39.0632000000,-122.8660000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CL-2,State DWR-Mouth of Rodman Slough,Lake,,18020116,,,,,39.1149000000,-122.8828000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CL-3,"State DWR-Lower Arm of Clear Lake, Center",Lake,,,,,,,38.9643000000,-122.6790000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CL-4,"State DWR-Oaks Arm of Clear Lake, Center",Lake,,,,,,,39.0116000000,-122.6790000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CL-5,State DWR-Rodman Slough Mouth of Clear Lake,Lake,,,,,,,39.1149000000,-122.8827770000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLOAKS01,Clear Lake Oaks,Lake,,,,,,,39.0192900000,-122.6751400000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLSP,Clear Lake State Park,Lake,,,,,,,39.0175000000,-122.8043000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV1,Clear Lake Vista 1,Lake,,18020116,,,,,39.0137000000,-122.8018000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV2,Clear Lake Vista 2,Lake,,18020116,,,,,39.0050000000,-122.7957000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV3,Clear Lake Vista 3,Lake,,18020116,,,,,39.0033000000,-122.7979000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV4,Clear Lake Vista 4,Lake,,18020116,,,,,39.0027000000,-122.7972000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV5,Clear Lake Vista 5,Lake,,18020116,,,,,39.0052000000,-122.7918000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV6,Clear Lake Vista 6,Lake,,18020116,,,,,39.0077000000,-122.7910000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLV7,Clear Lake Vista 7 At boat launch,Lake,,,,,,,39.0028000000,-122.7977000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CLVSW8,"Clear Lake Vista Storm Water 8 Eastern edge of property, drains Soda Bay Rd.","Pipe, Unspecified Source",,,,,,,39.0423600000,-122.9129000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-CP,County Park at beach,Lake,,,,,,,39.0287000000,-122.8486000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-ELEM01,At end of El-Em St. on Elem Indian Colony,Lake,,,,,,,39.0094000000,-122.6738390000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FC1,Forbes Creek at Martin St. in Lakeport,River/Stream,,,,,,,39.0405000000,-122.9192000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FC2,Forbes Creek at Main St. in Lakeport,River/Stream,,,,,,,39.0409530000,-122.9150310000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FCS,Post Fire Sampling Forbes Creek Downstream,River/Stream,,,,,,,39.0405000000,-122.9192000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW122OAKS,Fish Wildlife 122 Oaks Arm,Lake,,18020116,,,,,39.0338276331,-122.7441326760,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW156OAKS,Fish Wildlife 156 Oaks Arm,Lake,,18020116,,,,,39.0199300000,-122.6696000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW174OAKS,Fish Wildlife 174 Oaks Arm,Lake,,18020116,,,,,39.0180900000,-122.6724000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW215OAKS,Fish Wildlife 215 Oaks Arm,Lake,,18020116,,,,,39.9988773000,-122.6853238000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW250LOWER,Fish Wildlife 250 Lower Arm,Lake,,18020116,,,,,39.0056911000,-122.7293566000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW325LOWER,Fish Wildlife 325 Lower Arm,Lake,,18020116,,,,,38.9677600000,-122.6621000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW390LOWER,Fish Wildlife 390 Lower Arm,Lake,,18020116,,,,,38.9512100000,-122.6567000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW415LOWER,Fish Wildlife 415 Lower Arm,Lake,,18020116,,,,,38.9509100000,-122.6875000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW50UPPER,Fish Wildlife 50 Upper Arm,Lake,,18020116,,,,,39.0952600000,-122.8030000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW553UPPER,Fish Wildlife 553 Upper Arm,Lake,,18020116,,,,,39.0080000000,-122.7593000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW609UPPER,Fish Wildlife 609 Upper Arm,Lake,,18020116,,,,,39.0189837922,-122.8070738960,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW633UPPER,Fish Wildlife 633 Upper Arm,Lake,,18020116,,,,,39.0240000000,-122.8289000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW640UPPER,Fish Wildlife 640 Upper Arm,Lake,,18020116,,,,,39.0286822000,-122.8347430000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW641UPPER,Fish Wildlife 641 Upper Arm,Lake,,18020116,,,,,39.0229600000,-122.8343900000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW687UPPER,Fish Wildlife 687 Upper Arm,Lake,,18020116,,,,,39.0289000000,-122.8699000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW692UPPER,Fish Wildlife 692 Upper Arm,Lake,,18020116,,,,,39.0304000000,-122.8772000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW69UPPER,Fish Wildlife 69 Upper Arm,Lake,,18020116,,,,,39.0772000000,-122.7841000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW716UPPER,Fish Wildlife 716 Upper Arm,Lake,,18020116,,,,,39.0252000000,-122.9003000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW762UPPER,Fish Wildlife 762 Upper Arm,Lake,,18020116,,,,,39.0560000000,-122.9132000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW763UPPER,Fish Wildlife 763 Upper Arm,Lake,,18020116,,,,,39.0560000000,-122.9132000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW772UPPER,Fish Wildlife 772 Upper Arm,Lake,,18020116,,,,,39.0691200000,-122.9121000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW778UPPER,Fish Wildlife 778 Upper Arm,Lake,,18020116,,,,,39.0745600000,-122.8972000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW816UPPER,Fish Wildlife 816 Upper Arm,Lake,,18020116,,,,,39.1033800000,-122.8972000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-FW907LOWER,Fish Wildlife 907 Lower Arm,Lake,,18020116,,,,,38.9406500000,-122.6455000000,,,,GPS-Unspecified,NAD83,,,,,,,US,,,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-GH,Glenhaven,Lake,,,,,,,39.0266360000,-122.7348030000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-GW,Gym Well,Well,,,,,,,39.0165400000,-122.8936000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-HB,Horseshoe Bend,Lake,,,,,,,39.0119000000,-122.7605000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-HSP,Tribal housing subdivision road runoff into Nutrient Buffer Pond,"Pipe, Unspecified Source",,,,,,,39.0147380600,-122.8911811000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-HWY20-OAK1,Indian Beach Resort,Lake,,,,,,,39.0232000000,-122.7234000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-JB,Jago Bay   (Jones Bay),Lake,,,,,,,38.9498200000,-122.6594000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KC1,Kelsey Creek Soda Bay,River/Stream,,,,,,,39.0110220000,-122.8352110000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KC2,"Kelsey Creek burn zone-after the confluence of Kelsey, Jones, and Houghton which are entirely burned",River/Stream,,,,,,,38.8391666700,-122.7428333000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KC3,Kelsey Creek upstream from burn zone (non burned),River/Stream,,,,,,,38.8208333300,-122.7193333000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KC4,Kelsey Creek at bridge where Hwy 175 and Bottle Rock meet in Cobb,River/Stream,,,,,,,38.8240000000,-122.7215000000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KEYS01,A channel within the Oaks Keys paralleling Highway 20,Lake,,,,,,,39.0250735000,-122.6597850000,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
CA_BVR,"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California (Tribal)",CA_BVR-KEYS03,A bridge within the Oaks Keys on Blue Heron Drive,Lake,,,,,,,39.0239133900,-122.6717539700,,,,GPS-Unspecified,OTHER,,,,,,,US,06,033,,,,,,,,,STORET
